stat_id,player_id,player_name,age,gender,country,game_id,game_name,total_games_played,total_wins,total_losses,total_moves,total_time_played_minutes,win_ratio,rating,last_played
3407ea25-ba61-11ef-9d4e-00155d326b4e,d16771fa-ba60-11ef-9d4e-00155d326b4e,"David Gonzales",34,Female,Canada,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,170,92,78,4914,5990,54.12,3,"2024-12-08 14:35:00"
3409a88e-ba61-11ef-9d4e-00155d326b4e,d133c41a-ba60-11ef-9d4e-00155d326b4e,"Joseph Davis",18,Female,Japan,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,148,76,72,4220,5094,51.35,3,"2024-12-05 08:24:00"
3409bca3-ba61-11ef-9d4e-00155d326b4e,d15034ff-ba60-11ef-9d4e-00155d326b4e,"Isabella Martin",51,Non-Binary,Spain,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,210,105,105,6053,7171,50.00,3,"2024-12-10 11:00:00"
340a17ca-ba61-11ef-9d4e-00155d326b4e,d15ee3cd-ba60-11ef-9d4e-00155d326b4e,"Michael Thomas",33,Non-Binary,UK,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,119,61,58,3471,4285,51.26,3,"2024-12-10 00:23:00"
340a5066-ba61-11ef-9d4e-00155d326b4e,d1224a65-ba60-11ef-9d4e-00155d326b4e,"Evelyn Thomas",18,Non-Binary,Brazil,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,147,79,68,4230,4969,53.74,3,"2024-12-09 09:26:00"
340b2827-ba61-11ef-9d4e-00155d326b4e,d14d10f2-ba60-11ef-9d4e-00155d326b4e,"Emily Lopez",47,Non-Binary,Brazil,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,65,31,34,1794,2228,47.69,3,"2024-11-24 04:45:00"
340cfb1d-ba61-11ef-9d4e-00155d326b4e,d1843980-ba60-11ef-9d4e-00155d326b4e,"Michael Brown",28,Non-Binary,Spain,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,189,105,84,5503,6515,55.56,3,"2024-12-12 12:17:00"
340d4683-ba61-11ef-9d4e-00155d326b4e,d108b5b1-ba60-11ef-9d4e-00155d326b4e,"Charlotte Gonzales",45,Non-Binary,Canada,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,85,52,33,2619,2837,61.18,4,"2024-12-10 20:27:00"
340d51e7-ba61-11ef-9d4e-00155d326b4e,d173e3c2-ba60-11ef-9d4e-00155d326b4e,"David Brown",20,Non-Binary,USA,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,190,104,86,5899,6413,54.74,3,"2024-12-12 11:59:00"
340d7b4e-ba61-11ef-9d4e-00155d326b4e,d0f8548a-ba60-11ef-9d4e-00155d326b4e,"Olivia Taylor",27,Non-Binary,Brazil,d0ac190e-ba60-11ef-9d4e-00155d326b4e,battleship,95,47,48,2799,3431,49.47,3,"2024-12-12 04:38:00"
